File Name,Dimension,Open List Size,Closed List Size,Number of Steps in a Solution,Running Time
board01.txt,3,4,6,5,0.003
board02.txt,3,5,5,4,0.0
board03.txt,3,43,59,26,0.002
board04.txt,3,5,4,3,0.0
board05.txt,3,140,207,43,0.003
board06.txt,3,67,93,42,0.001
board07.txt,3,5,5,4,0.0
board08.txt,4,1741,1657,159,0.055
board09.txt,4,3082,2888,185,0.074
board10.txt,4,911,795,136,0.007
board11.txt,4,688,600,92,0.008
board12.txt,4,633,581,143,0.005
board13.txt,4,487,440,86,0.003
board14.txt,4,1197,1150,190,0.017
board15.txt,5,7927,5896,356,0.671
board16.txt,5,8670,6695,338,0.519
board17.txt,5,38158,29790,569,17.723
board18.txt,5,10118,7765,388,0.566
board19.txt,5,14034,12249,482,1.106
board20.txt,5,6300,4837,421,0.212
board21.txt,6,51228,41143,,
board22.txt,6,66996,48107,,
board23.txt,6,29097,20529,679,5.6
board24.txt,6,49843,35615,,
board25.txt,6,30322,21184,777,6.199
board26.txt,7,60642,43283,,
board27.txt,7,59470,46073,,
board28.txt,7,42721,28015,1202,9.525
board29.txt,7,42423,29803,,
board30.txt,7,53628,37517,,
board31.txt,8,72317,51317,,
board32.txt,8,54421,36089,,
board33.txt,8,60095,40160,,
board34.txt,8,45221,30707,,
board35.txt,8,53377,35370,,
board36.txt,9,38151,28410,,
board37.txt,9,60151,48172,,
board38.txt,9,48496,34987,,
board39.txt,9,76820,50379,,
board40.txt,9,50137,44876,,
