File Name,Dimension,Open List Size,Closed List Size,Number of Steps in a Solution,Running Time
board01.txt,3,4,6,5,0.002
board02.txt,3,5,5,4,0.001
board03.txt,3,43,59,26,0.002
board04.txt,3,5,4,3,0.0
board05.txt,3,140,207,43,0.004
board06.txt,3,67,93,42,0.001
board07.txt,3,5,5,4,0.0
board08.txt,4,1741,1657,159,0.046
board09.txt,4,3082,2888,185,0.084
board10.txt,4,911,795,136,0.016
board11.txt,4,688,600,92,0.006
board12.txt,4,633,581,143,0.004
board13.txt,4,487,440,86,0.003
board14.txt,4,1197,1150,190,0.012
board15.txt,5,7927,5896,356,0.671
board16.txt,5,8670,6695,338,0.574
board17.txt,5,38158,29790,569,16.932
board18.txt,5,10118,7765,388,0.68
board19.txt,5,14034,12249,482,1.199
board20.txt,5,6300,4837,421,0.226
board21.txt,6,49129,39392,,
board22.txt,6,66399,47703,,
board23.txt,6,29097,20529,679,5.754
board24.txt,6,50835,36325,,
board25.txt,6,30322,21184,777,6.037
board26.txt,7,60593,43248,,
board27.txt,7,59484,46081,,
board28.txt,7,42721,28015,1202,9.431
board29.txt,7,42206,29643,,
board30.txt,7,52589,36814,,
board31.txt,8,68938,49039,,
board32.txt,8,53567,35540,,
board33.txt,8,61471,41097,,
board34.txt,8,44493,30241,,
board35.txt,8,53963,35764,,
board36.txt,9,37791,28162,,
board37.txt,9,59952,48015,,
board38.txt,9,47041,33936,,
board39.txt,9,75953,49771,,
board40.txt,9,49166,44040,,
